gene1|gene2|experiment_type|reference
GSK3B|CTNNB1|in vitro;in vivo|12051714,12000790,12114015,11818547
PYGO1|CTNNB1|in vitro|11955446
TCF7L1|CTNNB1|in vivo|11266540
NF2|CTNNB1|in vitro|12695331
ACP1|CTNNB1|in vitro;in vivo|12438242
CDH11|CTNNB1|in vivo|10029089
NCOA2|CTNNB1|in vivo|12588987
RUVBL1|CTNNB1|in vitro;in vivo|9843967
CTNND2|CTNNB1|in vivo|9971746
ANXA11|ALG2|in vitro;yeast 2-hybrid|11883939
TJP1|ARVCF|in vitro;in vivo;yeast 2-hybrid|15456900
NASP|HIST2H3C|yeast 2-hybrid|16189514
NASP|HIST1H3G|yeast 2-hybrid|16189514
NASP|HIST1H3H|yeast 2-hybrid|16189514
STX5|NAPA|yeast 2-hybrid|16189514
NAPA|RTN4|yeast 2-hybrid|16189514
BNIP2|CREB3|yeast 2-hybrid|16189514
BNIP3|BNIP3L|yeast 2-hybrid|16189514
BNIP3|TMEM11|yeast 2-hybrid|16189514
FREQ|DTX2|yeast 2-hybrid|16189514
CDKN2C|UNC119|yeast 2-hybrid|16169070
GUSB|CES1|in vitro;in vivo|10562416
BMPR2|CES1|in vitro|15188402
CPE|CCK|in vivo|9275097,12479974
CPE|GAST|in vivo|9369230
GCG|CPE|in vivo|11375130
CPE|INS|in vivo|10966857,7477119
PMCH|CPE|in vivo|8770919
NTS|CPE|in vivo|8770919
TRH|CPE|in vivo|12270926
CPM|EGF|in vivo|7615511,8796265
CPM|HBA2|in vitro|8635221
HNRPM|CEACAM5|in vitro;yeast 2-hybrid|11406629
VCAN|HAPLN1|in vitro|12888576
MMP2|HAPLN1|in vitro|7694569
MMP9|HAPLN1|in vitro|7694569
AGC1|HAPLN1|in vitro|12888576
MMP7|HAPLN1|in vitro|7694569
MMP3|HAPLN1|in vitro|7694569
MMP10|HAPLN1|in vitro|7694569
COL2A1|MATN1|in vivo|10196235
ITGA1|MATN1|in vitro;in vivo|10196235
MATN2|MATN1|in vitro|11896063
MATN3|MATN1|in vitro|11896063
MATN4|MATN1|in vitro|11896063
DAPK3|CDKN1A|in vitro;in vivo|15001356
CSNK2B|CSNK2A1|in vitro;in vivo|9188720,9571630,14667819
CSNK2A1|CTNNB1|in vitro;in vivo|12432063,12700239
CDKN1A|CSNK2A1|in vitro|11255227
CDC2|CSNK2A1|in vitro;in vivo|7592773,1400350
CSNK2A1|CDC25B|in vitro;in vivo|12527891
CSNK2A1|CLTB|in vitro|3128543
CSNK2A1|ATF1|in vitro;in vivo|9685505
ATF2|CSNK2A1|in vitro|9685505
CSNK2A1|CREM|in vitro;in vivo|8404858
CSNK2A1|DDIT3|in vitro|12876286
CSNK2A1|LIG1|in vivo|10523317,15302935
TOP1|CSNK2A1|in vitro;in vivo|2998765
CSNK2A1|TOP2A|in vivo|9804834,8939955,11940573
CSNK2A1|EGR1|in vitro;in vivo|8662759
EEF1D|CSNK2A1|in vitro|10094407
FGF1|CSNK2A1|in vitro|12145206
FGF2|CSNK2A1|in vitro|12145206
CSNK2A1|GYS1|in vitro|2117608
CSNK2A1|HSP90AA1|in vitro;in vivo|7794926,2492519
CSNK2A1|HSF1|in vitro|12659875
CSNK2A1|HOXB7|in vitro|11290787
CSNK2A1|IGFBP3|in vitro;in vivo|10650937
CSNK2A1|IRS1|in vitro|8349691
IRF2|CSNK2A1|in vitro;in vivo|9213219
CSNK2A1|IFI16|in vitro|11115400
CSNK2A1|STMN1|in vitro;in vivo|8376365,8002936
CSNK2A1|PTPRC|in vivo|10066810
CSNK2A1|CD5|in vitro;in vivo|9834084
CSNK2A1|LGALS3|in vitro;in vivo|10961987,8253806
CSNK2A1|MAX|in vitro;in vivo|11535131,8247525
MGMT|CSNK2A1|in vitro;in vivo|10667577
CSNK2A1|MYF5|in vitro|9461343
CSNK2A1|SNCA|in vitro;in vivo|10617630,10852916
CSNK2A1|NFKBIA|in vitro;in vivo|8622692,10398585
CSNK2A1|RELA|in vitro;in vivo|10938077
CSNK2A1|HNRPC|in vitro;in vivo|12564933
NCL|CSNK2A1|in vitro;in vivo|8663258
FOS|CSNK2A1|in vitro|9685505
CSNK2A1|MYCN|in vitro;in vivo|1425701
CSNK2A1|JUN|in vitro;in vivo|9685505,1516134
CSNK2A1|SPP1|in vitro|8663267
CSNK2A1|GPI|in vitro;in vivo|11004567
CSNK2A1|PTPN1|in vitro;in vivo|8491187,9600099
CSNK2A1|RRAD|in vitro|7876254,9677319
CSNK2A1|STX1A|in vitro;in vivo|10844023,9930733
CSNK2A1|SP1|in vitro|9153193
CSNK2A1|MYB|in vitro;in vivo|11313925
CSNK2A1|MYC|in vivo|2663470
CSNK2A1|TP53|in vitro;in vivo|10747897,10348343,10884347,11709713,11883897,10951572,12628923
HSP90B1|CSNK2A1|in vitro|11557039
CSNK2A1|CDH1|in vitro;in vivo|10671552
CSNK2A1|SLC18A2|in vitro|9045708
CSNK2A1|VTN|in vitro;in vivo|9733784
CSNK2A1|ACACA|in vitro|2900140
CSNK2A1|F5|in vivo|9525959
CSNK2A1|PIN4|in vitro;in vivo|12860119
OGT|CSNK2A1|in vitro|10753899
CSNK2A1|WAS|in vitro;in vivo|12769847
ARR3|CSNK2A1|in vitro;in vivo|11877451
CSNK2A1|L1CAM|in vitro|8592152
CSNK2A1|SAT1|in vitro|8954982
XK|CSNK2A1|in vivo|9647734
HNRPA2B1|CSNK2A1|in vivo|10381337
CREBBP|CSNK2A1|in vitro|9685505
CSNK2A1|AQP4|in vitro|11742978
CSNK2A1|SUB1|in vitro;in vivo|7809103
CSNK2A1|GTF2A1|in vitro;in vivo|11278496
CSNK2A1|SRF|in vitro|1740119,2046671
CSNK2A1|EEF1B2|in vivo|14729942,15302935,8547318,15345747
CSNK2A1|MEF2C|in vitro;in vivo|8663403
UBTF|CSNK2A1|in vitro;in vivo|7651819
HMGA2|CSNK2A1|in vitro|11034995
CSNK2A1|HMGA1|in vitro|11034995,2806554
PPP2R4|CSNK2A1|in vitro;in vivo|9139659
CSNK2A1|PSEN2|in vitro;in vivo|8972483,9990034,9558331
CSNK2A1|MAZ|in vitro;in vivo|10448092
PSMA3|CDKN1A|in vitro;in vivo|11350925
RB1|CDKN1A|in vitro|10486249
TK1|CDKN1A|in vitro;in vivo|11389691
CASP3|CDKN1A|in vivo|9660939,10022118,9799125
MAPK8|CDKN1A|in vitro;in vivo|12058028
TSG101|CDKN1A|in vivo;yeast 2-hybrid|11943869
CDC6|CDKN1A|in vitro|15232106
CCNB2|CDKN1A|in vitro|15232106
CDC5L|CDKN1A|in vitro|15232106
CCNE2|CDKN1A|yeast 2-hybrid|15232106,9840943
CCNA1|CDKN1A|in vitro|7478582,10022926,15232106
GADD45B|CDKN1A|in vitro|8700517
GADD45G|CDKN1A|in vivo|10455148
SET|CDKN1A|in vitro;in vivo|12407107
CDC7|CDKN1A|in vitro|15232106
MCM10|CDKN1A|in vitro|15232106
CIZ1|CDKN1A|in vitro|10529385
POLD2|CDKN1A|yeast 2-hybrid|12522211
BCCIP|CDKN1A|in vitro;in vivo;yeast 2-hybrid|10878006,14726710
IBRDC2|CDKN1A|in vitro;in vivo|12853982
DNM2|SNX9|in vitro;in vivo|15299020
CKS1B|CKS1B|in vitro|7791211
CKS2|CKS1B|in vitro|2227411
CDK2|CKS1B|in vitro;yeast 2-hybrid|8601310,12140288
SKP2|CKS1B|in vitro;in vivo|11231585,12813041,12529174,16209941
CDC2|CKS2|in vitro|2227411
NCAM1|NCAM1|in vitro;in vivo|7624364,7854457
FGFR1|NCAM1|in vivo|12121226
FYN|NCAM1|in vitro;in vivo|11839780,9079653
PRNP|NCAM1|in vivo|15146195
SPTB|NCAM1|in vitro|12743109
L1CAM|NCAM1|in vitro|10611478,8509458
NCAN|NCAM1|in vitro|8910306
ST8SIA2|NCAM1|in vitro|8702635
ST8SIA4|NCAM1|in vitro|9774483
ST8SIA3|NCAM1|in vitro|10766765
OAZ1|OAZ3|yeast 2-hybrid|15355308
CDC2|CDC25A|in vitro;in vivo|12411508
CDC25B|CDC2|in vitro|9585407,9733650,9268380,9141461,8440392,12107172
CDC2|CREM|in vitro;in vivo|8404858
CDKN3|CDC2|in vitro;in vivo;yeast 2-hybrid|8127873
CCNA2|CDC2|in vivo|10924145
CCNB1|CDC2|in vitro;in vivo|2570636
CCNE1|CDC2|in vitro|1388288
GADD45A|CDC2|in vivo|10973963
ERCC2|CDC2|in vivo|8652557
CDC2|TOP2A|in vitro;in vivo|7635160,12569090
CDC2|EEF1D|in vitro|8051108,12551973
FYN|CDC2|in vivo|8910336
CDC2|GFAP|in vitro;in vivo|7822264,12177195
CDC2|HIST1H1A|in vitro|7499230
CDC2|ITPR1|in vitro;in vivo|14635192,16237118
CDC2|KRT18|in vivo|9524113,15368451
CDC2|KIF11|in vitro;in vivo;yeast 2-hybrid|9235942,8548803
CDC2|LMNA|in vitro;in vivo|7925482,2344612
CDC2|LMNB1|in vitro;in vivo|11901153,8034666
CDC2|STMN1|in vivo|8376365,11135364,8325880
CDC2|MAP4|in vitro;in vivo|9398320,11683421
CDC25C|CDC2|in vitro;in vivo|11836499,9585407,9733650,9268380,9141461,8440392,8119945,17349584
CDC2|NPM1|in vitro;in vivo|12058066,11278991
LYN|CDC2|in vitro;in vivo|8910336,8051175,8084605,10564259
PCNA|CDC2|in vitro|7949095
CDC2|PTPN1|in vitro|8491187,9600099
CDC2|RAB4A|in vitro|1425574
CDC2|RAB5B|in vitro|10403367
NPDC1|CDK2|in vitro|11042687
CCRK|CDK2|in vitro;in vivo|14597612
CDK7|CDK2|in vitro|11113184
CDK2|PRC1|in vitro;in vivo|9885575
SPDYA|CDK2|in vivo|11980914,12839962
UHRF2|CDK2|in vitro;in vivo|15178429
RBL1|RBL1|in vivo|7935440
CDK4|RBL1|in vivo|12006580
CCNA2|RBL1|in vitro;in vivo|1532458,8230483,12439743
CCNE1|RBL1|in vivo|8230483
MCM7|RBL1|in vitro|9566894
CCND1|RBL1|in vivo|8643455
PHB|RBL1|in vitro;in vivo|10376528
SP1|RBL1|in vivo|7565695
MYC|RBL1|in vivo|8076603
SUV39H1|RBL1|in vitro;in vivo|12588981
TAF1|RBL1|in vitro;in vivo|9242374
E2F4|RBL1|in vitro;in vivo|12150994,11573202,8643455
E2F5|RBL1|in vivo;yeast 2-hybrid|7892279
SMAD4|RBL1|in vitro;in vivo|12150994
HDAC1|RBL1|in vitro;in vivo|9724731
SMAD2|RBL1|in vitro;in vivo|12150994
MYBL2|RBL1|in vitro;in vivo|12439743,12947099
RBBP9|RBL1|in vivo|9697699
SNW1|RBL1|in vitro|12466551
SMAD3|RBL1|in vitro;in vivo|12150994
USP4|RBL1|in vitro;in vivo|11571651
RBBP8|RBL1|yeast 2-hybrid|9721205
BRF1|RBL1|in vitro;in vivo|10330166
JARID1A|RBL1|in vitro|7935440
PPP2R3A|RBL1|in vitro;in vivo|9927208
CREG1|RBL1|in vitro|9710587
PARP1|CENPA|in vivo|12011073
AURKB|CENPA|in vitro|11756469
PARP2|CENPA|in vivo|12217960
HIST1H3C|CENPA|in vitro|15282608
HIST1H4F|CENPA|in vitro|15282608
PARP1|CENPB|in vivo|12011073
HAND2|CENPB|yeast 2-hybrid|11812799
PARP2|CENPB|in vivo|12217960
UBTF|CENPC1|in vitro;in vivo|8702533
DAXX|CENPC1|in vivo;yeast 2-hybrid|9645950
CENPF|CENPE|yeast 2-hybrid|9763420
BUB1B|CENPE|in vitro;in vivo;yeast 2-hybrid|10477750,9763420
GAST|CP|in vitro|463490
LTF|CP|in vitro;in vivo|10666301
PLG|CP|in vitro;in vivo|146197,6582496
PROC|CP|in vitro|2105310
ATP7A|CP|in vitro|11040994
MPO|CP|in vitro|9097926
HSPD1|HSPD1|in vitro|11488911
DHFR|HSPD1|in vitro|8976559,8559246
RASA1|HSPD1|in vivo|1347942
PRNP|HSPD1|in vitro;in vivo|8676499
CA2|HSPD1|in vitro|9890926,10811634
HSPE1|HSPD1|in vivo;yeast 2-hybrid|11050098,10205158,12387818
BAK1|HSPD1|in vitro;in vivo|12070120
CASP3|HSPD1|in vivo|10205159,10205158
PRKACA|HSPD1|in vitro|9724719
HIST2H2BE|HSPD1|in vitro;in vivo|9724719
CASP9|HSPD1|in vitro|11230124
RAC1|CHN1|in vitro|8496137
CCKAR|CCK|in vitro;in vivo|10400673,11300760,9006937,9603948,10595537
CCKBR|CCK|in vitro;in vivo|10438490,12695525,15068617,15520004,15001692
MEP1A|CCK|in vitro|11278902
MEP1B|CCK|in vitro|11278902
ENPEP|CCK|in vitro;in vivo|8804068
CCKAR|CCKAR|in vitro;in vivo|10595537
CCKBR|CCKAR|in vitro|14534299
CCKBR|CCKBR|in vitro|14534299
LPL|CETP|in vivo|9374130
APOA1|CETP|in vivo|9305883
CYP11B2|CYP11A1|in vitro|10411633
RCC1|CHKA|in vitro;in vivo|12062430
GNA11|CHRM2|in vivo|7797501
GNA15|CHRM2|in vitro|7797501
SAG|CHRM2|in vivo|10952973
GRK5|CHRM2|in vitro|8288567
GNA14|CHRM2|in vivo|7797501
GNG2|CHRM2|in vivo|9063897
GZMB|CHRM3|in vitro;in vivo|11665980
ARF6|CHRM3|in vitro;in vivo|12799371
CSNK1A1|CHRM3|in vitro|10777483
GRK6|CHRM3|in vitro|11856737
GNAQ|CHRM3|in vivo|7629074
EEF1A2|CHRM4|in vitro;in vivo|12048193
CHRNB2|CHRNA2|in vivo|8906617
CHRNB4|CHRNA2|in vitro;in vivo|8906617
CHRNB4|CHRNA4|in vitro|8906617
VSNL1|CHRNA4|in vitro;in vivo;yeast 2-hybrid|12202488
CHRNB4|CHRNA5|in vitro|9655874
CHRNA3|CHRNB4|in vitro|1725184,1689727
GNAI2|CHRM1|in vivo|8190105
PIK3R1|CHRNA7|in vivo|11278378
ADCY6|CHRNA7|in vivo|12748066
VCAN|VCAN|in vitro|11083865
FBN1|VCAN|in vitro|11726670
ITGB1|VCAN|in vivo|11805102
FBLN1|VCAN|in vitro|10400671
FBLN2|VCAN|in vitro|11038354
CXCL10|VCAN|in vitro|11083865
CCL2|VCAN|in vitro|11083865
PLA2G2A|VCAN|in vitro|9848887,8824283
SELP|VCAN|in vitro|10950950
CCL5|VCAN|in vitro|11083865
ITGA4|VCAN|in vitro|11083865
XCL1|VCAN|in vitro|11083865
CCL20|VCAN|in vitro|11083865
TNR|VCAN|in vivo|9294172
CCL8|VCAN|in vitro|11083865
CCL21|VCAN|in vitro|11083865
CDC2|RPA2|in vitro;in vivo|1318195,9295339
CDC2|RB1|in vivo|1756735
CDC2|RRM2|in vitro|9990288
PTMA|CDC2|in vitro|11310559
CDC2|E2F1|in vitro;in vivo|8087847
CDC2|ABL1|in vitro;in vivo|2183353
TP53|CDC2|in vitro;in vivo|11327730
CDC2|VIM|in vitro|7983050,15345747
WEE1|CDC2|in vitro;in vivo|10564259,9268380,12186947,8428596
FANCC|CDC2|in vivo|9242535
POLA1|CDC2|in vitro;in vivo|11259605
CDC2|UBE2A|in vivo|11953320
CDC2|UBE1|in vitro;in vivo|7724583,7673335
TLE1|CDC2|in vitro|12397081
CDC2|RAP1GAP|in vitro|1406653
MYT1|CDC2|in vitro;in vivo|9001210,9268380
CDC2|FEN1|in vitro|12853968
CDC2|AMPH|in vitro|11113134
CDC2|HMGA2|in vitro|10636877
CDC2|HMGA1|in vitro;in vivo|1939057
PIN1|CDC2|in vivo|11774038
DAB2|CDC2|in vitro|12881709
CHAF1B|CDC2|in vitro|10938080
CDC2|DUT|in vitro;in vivo|8631817
CDC2|PLEC1|in vitro;in vivo|8626512
SFN|CDC2|in vivo|10524633
CDC2|TP73|in vitro;in vivo|12676926
CDC2|FOXM1|in vitro|15024056
DNM2|CDC2|in vitro;in vivo|7590285
PKMYT1|CDC2|in vitro;in vivo|10373560,10504341,9001210,9268380,12912980
CDC2|KHDRBS1|in vitro;in vivo|9315091
CDC2|GOLGA2|in vitro;in vivo|10769027,9753325
CCNB2|CDC2|in vitro;in vivo|9926943
CDC2|IL16|in vitro;in vivo|12450396
CDC2|BIRC5|in vitro;in vivo|11069302,11861764
CCNA1|CDC2|in vivo|8565853
CDC2|PTTG1|in vitro;in vivo|10656688
CNOT7|CDC2|in vivo|10602502
GADD45B|CDC2|in vivo|10973963
GADD45G|CDC2|in vivo|10973963
CDC2|TSC1|in vitro;in vivo|11444800,14551205
LZTS1|CDC2|in vivo|11504921
GORASP1|CDC2|in vitro|12839990
CDC2|EPN1|in vitro|10764745
CDC2|NUP210|in vitro|8672508
CDC2|PTPN2|in vitro;in vivo|15030318
USP16|CDC2|in vitro;in vivo|10077596
CDT1|CDC2|in vitro;in vivo|14993212
HSPA2|CDC2|in vitro|9247342
CDC2|STMN2|in vitro|9525956,9126608
CDC2|NES|in vitro;in vivo|12832492,11278541
CDC2|LATS1|in vitro;in vivo;yeast 2-hybrid|9988268,12372621
CDC2|MPHOSPH1|in vitro;in vivo|11470801
CDC2|NSFL1C|in vitro;in vivo|12810701
CDC2|RPS6KB1|in vitro;in vivo|12586835,9271440
SPAG5|CDC2|in vitro|11549262
ZBTB16|CDC2|in vitro;in vivo|10497277
CDC2|NDE1|in vitro|12556484
CDK7|CDC2|in vitro|7944411,11113184
CDC2|PBK|in vitro|15541388
MCM2|MCM2|in vitro;yeast 2-hybrid|15232106,12614612
CDK4|MCM2|in vitro|15232106
MCM7|MCM2|in vitro;in vivo|10748114,10567526,8798650,12207017,15232106
RPA1|MCM2|yeast 2-hybrid|12614612
RPA2|MCM2|yeast 2-hybrid|12614612
RPA3|MCM2|yeast 2-hybrid|12614612
GTF2H1|MCM2|in vitro|12392551
TBP|MCM2|in vitro|12392551
CDKN2A|MCM2|in vitro|15232106
ORC2L|MCM2|in vitro;in vivo;yeast 2-hybrid|12614612,15232106
MCM6|MCM2|in vitro;in vivo;yeast 2-hybrid|12694531
ORC1L|MCM2|yeast 2-hybrid|12614612
PLK1|MCM2|in vivo|15654075
CDC6|MCM2|in vitro|15232106
MCM3|MCM2|in vitro;yeast 2-hybrid|12614612,15232106
MCM5|MCM2|in vitro;yeast 2-hybrid|12614612,15232106
CCNB2|MCM2|in vitro|15232106
HIST3H3|MCM2|in vitro;in vivo|8798650
CDK6|MCM2|in vitro|15232106
AKAP8|MCM2|in vitro;in vivo;yeast 2-hybrid|12740381
CPSF1|MCM2|in vitro|12392551
ORC6L|MCM2|in vitro|15232106
MYST2|MCM2|in vitro;in vivo;yeast 2-hybrid|11278932
GTF2B|MCM2|in vitro|12392551
ORC5L|MCM2|in vitro;yeast 2-hybrid|12614612,15232106
ORC4L|MCM2|yeast 2-hybrid|12614612
CDC7|MCM2|in vitro;yeast 2-hybrid|10523313,12614612,11568184
DBF4|MCM2|yeast 2-hybrid|12614612
MCM10|MCM2|in vitro;in vivo;yeast 2-hybrid|15232106,11095689
SKIL|CDC27|in vivo|11691834
PPP5C|CDC27|in vitro;yeast 2-hybrid|9405394
PIN1|CDC27|in vitro|9499405,10939594,10037602
SMAD2|CDC27|in vivo|11691834
MAD2L1|CDC27|in vivo|9736712
BUB1B|CDC27|in vivo|10477750
SMAD3|CDC27|in vivo|11691834
CDC16|CDC27|in vitro;yeast 2-hybrid|9405394
CDC20|CDC27|in vitro;in vivo|9736712,12196507
FZR1|CDC27|in vivo|12797865
HOXC10|CDC27|in vitro;in vivo|12853486
CDC25A|CDK2|in vitro|8617791,12388094
CDKN3|CDC25A|in vitro|9989807
CCNB1|CDC25A|in vitro|1836978
CCNE1|CDC25A|in vitro|8617791
EGFR|CDC25A|in vitro;in vivo|11912208
CDC25A|RAF1|in vivo|9230211,10373531
PIM1|CDC25A|in vitro;in vivo|10373478,12411508
HRAS|CDC25A|in vitro|7744247
YWHAZ|CDC25A|in vitro;in vivo;yeast 2-hybrid|11912208,15161933
ROCK1|CDC25A|in vitro;in vivo|14657354
MAP3K5|CDC25A|in vitro;in vivo;yeast 2-hybrid|11416155
CHEK1|CDC25A|in vitro;in vivo|12399544,12676583
BTRC|CDC25A|in vitro;in vivo|14603323
CCNA1|CDC25A|in vivo|10926775
CHEK2|CDC25A|in vitro;in vivo|12676583
FBXW11|CDC25A|in vivo|14603323
CREM|CDC34|in vivo;yeast 2-hybrid|10373550
MYOD1|CDC34|in vitro|9710583
MYBL2|CDC34|in vivo|10871850
NEDD8|CDC34|in vitro|11675391
ATF5|CDC34|in vivo;yeast 2-hybrid|10373550
CDK9|CDC34|in vitro|11689688
ZFAND6|CDC34|in vitro;yeast 2-hybrid|11054541
ESR1|CDC25B|in vitro;in vivo|11689696
YWHAQ|CDC25B|in vitro;in vivo|10713667
AR|CDC25B|in vitro|12569365
CREBBP|CDC25B|in vitro|11689696
YWHAZ|CDC25B|in vitro;in vivo|10713667,12764136
YWHAB|CDC25B|in vitro;in vivo|7644510,10713667
AURKA|CDC25B|in vitro;in vivo|15128871
CHEK1|CDC25B|in vitro|9278511
YWHAE|CDC25B|in vitro;in vivo|10713667,7644510
MELK|CDC25B|in vitro;in vivo|12400006
PCAF|CDC25B|in vitro|11689696
FHL3|CDC25B|in vitro;in vivo;yeast 2-hybrid|12681290
BRSK2|CDC25B|in vitro|15150265
BRSK1|CDC25B|in vitro|15150265
ABL1|YWHAH|in vivo|15696159
DLL1|MAGI2|in vitro;yeast 2-hybrid|14529612
VAV1|CDC42|in vivo|11287617
PIK3R1|CDC42|in vitro;in vivo|9381982,7629060,8034624
EIF2AK2|CDC42|in vitro|7738010
PRKCA|CDC42|in vivo|11284700
PRKCG|CDC42|in vivo|14676191
PRKCZ|CDC42|in vivo|10733591
NCF2|CDC42|in vitro;yeast 2-hybrid|9642115,7738010
FLNA|CDC42|in vitro|10051605
PRKCI|CDC42|in vivo|10934474,14676191
GDI1|CDC42|in vitro|11583574
OPHN1|CDC42|in vitro|11998687,9582072
CDC42|WAS|in vitro;in vivo|8625410,10724160,15361624,12235133,10068673,12769846,9742969,10360578
FGD1|CDC42|in vitro|8969170
MAP3K11|CDC42|in vitro;in vivo|10799501,16253996
MAP3K10|CDC42|in vitro|9427749
KTN1|CDC42|in vitro;yeast 2-hybrid|9535835
CASP3|CDC42|in vitro;in vivo|11278572
CSPG4|CDC42|in vitro;in vivo|10587647
STAU1|CDC42|in vitro|15121898
CASP7|CDC42|in vitro;in vivo|11278572
METAP2|CDC42|in vitro|7738010
ARHGDIA|CDC42|in vitro|10676816
RAC2|CDC42|in vitro|9748241
PLD1|CDC42|in vitro;in vivo|10747870
MAP3K4|CDC42|in vitro|9079650
PAK1|CDC42|in vitro|9705280,7744004,8107774
ARHGAP1|CDC42|in vitro|9268338
ARHGDIB|CDC42|in vivo|9799233
ARHGDIG|CDC42|in vitro|9113980
IQGAP1|CDC42|in vitro;in vivo|12900413,8670801,8798539,9182573,8702968,8756646
ACTR3|CDC42|in vitro|9860974
PAK2|CDC42|in vitro;in vivo|10320322,16204230
WASF1|CDC42|in vitro;in vivo|12181570
WASL|CDC42|in vitro|10724160,9422512,11943145
PAK4|CDC42|in vitro;in vivo|9822598
BAIAP2|CDC42|in vitro;in vivo;yeast 2-hybrid|11696321
WASF2|CDC42|in vitro;in vivo|12181570
PARD3|CDC42|in vitro|10934474
TNK2|CDC42|in vitro;in vivo|11394904
PARD6A|CDC42|in vitro;in vivo;yeast 2-hybrid|10873802
PAK7|CDC42|in vitro;in vivo|12032833,11756552
PAK6|CDC42|in vitro|11773441
ERRFI1|CDC42|in vitro;in vivo|10749885
IQGAP2|CDC42|in vitro;in vivo|8756646,8702968
CDC42EP2|CDC42|in vitro;in vivo|11035016
MARK4|CDC42|in vivo|14676191
SRGAP1|CDC42|in vivo|11672528
DOCK9|CDC42|in vitro;in vivo|12172552
RHOJ|CDC42|in vitro;yeast 2-hybrid|10967094
TBC1D3|CDC42|in vivo|12612085
PARD6G|CDC42|in vitro|11260256
RPS6KB1|CDC42|in vitro|11438723
DEF6|CDC42|in vitro|15023524
DOCK8|CDC42|yeast 2-hybrid|15304341
PTPRD|PTPRE|in vivo|12376545
CDC42BPG|CDC42|in vitro|15194684
CDC42EP5|CDC42|in vitro;in vivo|10490598,11035016,11584266
WWOX|MAPK8|in vivo;yeast 2-hybrid|12514174
DOCK7|CDC42|in vitro|12432077
CDC42|MCF2L|in vitro|11889037,12006984,14701795
CDC42|PARD6B|in vitro;in vivo|14676191,11260256,10934474
RBL1|CDK2|in vitro;in vivo|8230483,11884610
CDKN3|CDK2|in vitro;in vivo;yeast 2-hybrid|12745075,11463386,8242751,8242750,7569954
CCNA2|CDK2|in vitro;in vivo|11907280,10924145
CDK2|CCNE1|in vitro;in vivo|1388288,14536078
BCL2|CDK2|in vivo|15619620
CDK2|MYOD1|in vitro|9710583
LYN|CDK2|in vitro;in vivo|10432313,8806683
CDK2|PTHLH|in vitro;in vivo|10373465
PCNA|CDK2|in vitro|10930425
CDK2|RB1|in vitro|8756624,9315635,9139732,8626527,10207050
RBL2|CDK2|in vitro|9188854
PTMA|CDK2|in vitro|11310559
CDK2|NFYA|in vitro;in vivo|12857729
CDK2|TP53|in vitro;in vivo|10884347,12064478,10747897,10348343
CCNB3|CDK2|in vitro;in vivo|12185076
POLA1|CDK2|in vitro;in vivo|11259605
CDK2|UBE2A|in vivo|11953320
CDK2|HIRA|in vitro;in vivo|11238922
CDK2|COIL|in vitro;in vivo|11102515
CDK2|ID3|in vitro;in vivo|9372912
CDK2|ID2|in vitro;in vivo|9029153
FEN1|CDK2|in vitro;in vivo|12853968
CDK2|UBTF|in vitro;in vivo|11698641,10202152
CDK2|CDKN1B|in vitro|12972555,9192873,17254966
ORC2L|CDK2|in vitro|15232106
CHAF1B|CDK2|in vitro|10938080
CDK2|MYBL2|in vitro;in vivo|9840932,10095772,10593981
SKP2|CDK2|in vivo|10386600
CDK2|ORC1L|in vitro|11931757
CDK2|TP73|in vitro;in vivo|12676926
CDK2AP1|CDK2|in vitro;in vivo|10938106
CDK2|FOXM1|in vitro|15024056
CDK2|CDC6|in vitro;in vivo|9889196,10339564
MCM3|CDK2|in vitro|15232106
CDK2|FZR1|in vitro;in vivo|12560341
PPM1B|CDK2|in vitro|10934208
CCNE2|CDK2|in vitro;in vivo|9858585,15232106
CCNA1|CDK2|in vitro;in vivo;yeast 2-hybrid|9041194,10559988
CNOT7|CDK2|in vivo|10602502
CDC37|CDK2|in vitro|9150368
PRKCH|CDK2|in vivo|11175348
CDK2|TSPYL2|in vitro;in vivo|11395479
CDK2|PTPN2|in vitro;in vivo|15030318
CDT1|CDK2|in vitro;in vivo|14993212
CDK2|CDC7|in vitro|10846177
CCNK|CDK2|in vitro;yeast 2-hybrid|9632813,10574912
MATN2|COL4A2|in vivo|12180907
HABP2|COL4A2|in vivo|1724753
ANTXR2|COL4A2|in vivo|11683410
PTPRD|PTPRF|in vivo|12376545
PDCD6|HEBP2|yeast 2-hybrid|16189514
PNLIP|CLPS|in vitro|11278590,9240923,1522902,8479519
LIPF|CLPS|in vitro|11099794
PDCD6|C14orf32|yeast 2-hybrid|16189514
ANXA5|COL10A1|in vitro|1397263
P4HB|COL10A1|in vivo|10436013
COL4A1|COL7A1|in vitro|9169408
COL1A1|COL7A1|in vitro|9169408
MMP2|COL7A1|in vivo|10652000
FN1|COL7A1|in vitro|9169408,7963647
LAMC2|COL7A1|in vitro;in vivo|9989793
LAMB3|COL7A1|in vitro;in vivo|9989793
LAMA1|COL7A1|in vitro|9169408
THBS1|COL7A1|yeast 2-hybrid|9840442
LAMA5|COL7A1|in vitro;in vivo|9245798
H3F3B|EHMT2|yeast 2-hybrid|16189514
COL4A1|COL4A1|in vitro|12011424
MMP9|COL4A1|in vivo|9878537
CD93|COL4A1|in vitro|1377218
DCN|COL4A1|in vivo|10382266
FN1|COL4A1|in vivo|3997552
